citation,doi,url,summary_of_paper_topic,theme_name,theme_description
"Radez J, Reardon T, Creswell C, Orchard F, Waite P (2021) Adolescents' perceived barriers and facilitators to seeking and accessing professional help for anxiety and depressive disorders: a qualitative interview study. European Child and Adolescent Psychiatry 31(6): 891-907.",10.1007/s00787-020-01707-0,https://pmc.ncbi.nlm.nih.gov/articles/PMC9209355/,Adolescent barriers to mental health help-seeking,The Instrumental Role of Others,"Recognising need for professional help and initiating help-seeking; knowledge of services; family's resources and resilience; caregivers and schools working together; young person's engagement with help-seeking. Participants noted that if it would not be for X, I would still be suffering."
"Pozzar M, Volpato E, Valota C, et al. (2020) How people with chronic obstructive pulmonary disease perceive their illness: a qualitative study between mind and body. BMC Pulmonary Medicine 20: 120.",10.1186/s12890-020-1157-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7199319/,COPD patients' illness perceptions and mind-body beliefs,Illness Experience,"Describes daily coexistence with limitation as both concrete obstacles in activities and mental fear of crises. Encompasses struggle with acceptance, adaptation processes with highs and lows, acute phases triggering panic, and varied coping strategies including locus of control variations."
"Pozzar M, Volpato E, Valota C, et al. (2020) How people with chronic obstructive pulmonary disease perceive their illness: a qualitative study between mind and body. BMC Pulmonary Medicine 20: 120.",10.1186/s12890-020-1157-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7199319/,COPD patients' illness perceptions and mind-body beliefs,Body-Mind Relationship,"Participants describe three perspectives: physical status determines emotions (when that breathing problem arrives I become 100% anxious); mental condition influences body; or a circular interconnection where the more you lack on one side the more you are affected on the other."
"Pozzar M, Volpato E, Valota C, et al. (2020) How people with chronic obstructive pulmonary disease perceive their illness: a qualitative study between mind and body. BMC Pulmonary Medicine 20: 120.",10.1186/s12890-020-1157-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7199319/,COPD patients' illness perceptions and mind-body beliefs,Expertise,"Gradual development of disease knowledge involving life/death existential themes and practical suggestions. Reflects recognition of patients as main expert of his/her disease."
"Pozzar M, Volpato E, Valota C, et al. (2020) How people with chronic obstructive pulmonary disease perceive their illness: a qualitative study between mind and body. BMC Pulmonary Medicine 20: 120.",10.1186/s12890-020-1157-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7199319/,COPD patients' illness perceptions and mind-body beliefs,Future,"Encompasses negative expectations about bodily decline, worries about unknown changes, and hopes for positive aging and regaining a life worth living."
"Estecha Querol S, Clarke P, Sattler ELP, Halford JCG, Gabbay M (2020) Non-visible disease, the hidden disruptive experiences of chronic illness in adversity. International Journal of Qualitative Studies on Health and Well-being 15(1): 1857579.",10.1080/17482631.2020.1857579,https://pmc.ncbi.nlm.nih.gov/articles/PMC7733900/,Chronic illness experience in economically deprived populations,Chronic illness as a disruptive experience,"Findings describe biographically disruptive experiences of chronic illness. However, the nature and extent of disruption varied among participants."
"Estecha Querol S, Clarke P, Sattler ELP, Halford JCG, Gabbay M (2020) Non-visible disease, the hidden disruptive experiences of chronic illness in adversity. International Journal of Qualitative Studies on Health and Well-being 15(1): 1857579.",10.1080/17482631.2020.1857579,https://pmc.ncbi.nlm.nih.gov/articles/PMC7733900/,Chronic illness experience in economically deprived populations,Struggling for money,"Participants faced tough financial situations. No participants were working, all receiving disability, sickness, or welfare benefits."
"Estecha Querol S, Clarke P, Sattler ELP, Halford JCG, Gabbay M (2020) Non-visible disease, the hidden disruptive experiences of chronic illness in adversity. International Journal of Qualitative Studies on Health and Well-being 15(1): 1857579.",10.1080/17482631.2020.1857579,https://pmc.ncbi.nlm.nih.gov/articles/PMC7733900/,Chronic illness experience in economically deprived populations,Lifestyle and health risks,"Several participants talked of unhealthy habits and how these could harm their health; in particular, smoking, unhealthy eating and insufficient physical activity."
"Estecha Querol S, Clarke P, Sattler ELP, Halford JCG, Gabbay M (2020) Non-visible disease, the hidden disruptive experiences of chronic illness in adversity. International Journal of Qualitative Studies on Health and Well-being 15(1): 1857579.",10.1080/17482631.2020.1857579,https://pmc.ncbi.nlm.nih.gov/articles/PMC7733900/,Chronic illness experience in economically deprived populations,Reflections on current inequalities,"Participants expressed both dissatisfaction and contentment with the health and care systems. These reflections about wider socioeconomic contexts shaped and influenced their experiences."
"Murray R, Turner L (2021) Using Communities of Practice Theory to Understand the Crisis of Identity in Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME). Chronic Illness 19(1): 56-64.",10.1177/17423953211064989,https://pmc.ncbi.nlm.nih.gov/articles/PMC9841457/,Identity disruption in CFS/ME through Communities of Practice theory,Loss of communities and identities,"All the practices and communities, which made participants who they were, prior to the onset of CFS/ME were now historical. Participants were no longer able to be as they were no longer able to do."
"Murray R, Turner L (2021) Using Communities of Practice Theory to Understand the Crisis of Identity in Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME). Chronic Illness 19(1): 56-64.",10.1177/17423953211064989,https://pmc.ncbi.nlm.nih.gov/articles/PMC9841457/,Identity disruption in CFS/ME through Communities of Practice theory,Interrupted futures,"When trajectories are interrupted as in the case of CFS/ME, futures become uncertain. Not only are identities jeopardised in the present but they are also sabotaged within future expectations of self."
"Murray R, Turner L (2021) Using Communities of Practice Theory to Understand the Crisis of Identity in Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME). Chronic Illness 19(1): 56-64.",10.1177/17423953211064989,https://pmc.ncbi.nlm.nih.gov/articles/PMC9841457/,Identity disruption in CFS/ME through Communities of Practice theory,Living with disbelief,"The illegitimate and psychosomatic nature of the illness appear to be reified in medical communities, meaning participants were not privileged with a sick identity which compromised their potential to be alongside CFS/ME."
"Murray R, Turner L (2021) Using Communities of Practice Theory to Understand the Crisis of Identity in Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME). Chronic Illness 19(1): 56-64.",10.1177/17423953211064989,https://pmc.ncbi.nlm.nih.gov/articles/PMC9841457/,Identity disruption in CFS/ME through Communities of Practice theory,Finding community,"Engagement in online groups has moved participants from the periphery to full participation, accepting and adapting to their CFS/ME identity."
"Woodward A, Nimmons D, Davies N, Walters K, Stevenson FA, Protheroe J, Chew-Graham CA, Armstrong M (2024) A qualitative exploration of the barriers and facilitators to self-managing multiple long-term conditions amongst people experiencing socioeconomic deprivation. Health Expectations 27(2): e14046.",10.1111/hex.14046,https://pmc.ncbi.nlm.nih.gov/articles/PMC11019445/,Self-management barriers in multiple long-term conditions with deprivation,Challenges in accessing services,"Subthemes include healthcare services, navigating financial assistance, and lack of cultural awareness in health services."
"Woodward A, Nimmons D, Davies N, Walters K, Stevenson FA, Protheroe J, Chew-Graham CA, Armstrong M (2024) A qualitative exploration of the barriers and facilitators to self-managing multiple long-term conditions amongst people experiencing socioeconomic deprivation. Health Expectations 27(2): e14046.",10.1111/hex.14046,https://pmc.ncbi.nlm.nih.gov/articles/PMC11019445/,Self-management barriers in multiple long-term conditions with deprivation,Empowerment and disempowerment through technology,"Subthemes include digital exclusion and technology to self-manage and self-educate."
"Woodward A, Nimmons D, Davies N, Walters K, Stevenson FA, Protheroe J, Chew-Graham CA, Armstrong M (2024) A qualitative exploration of the barriers and facilitators to self-managing multiple long-term conditions amongst people experiencing socioeconomic deprivation. Health Expectations 27(2): e14046.",10.1111/hex.14046,https://pmc.ncbi.nlm.nih.gov/articles/PMC11019445/,Self-management barriers in multiple long-term conditions with deprivation,Impact and causes of exclusion to self-management,"Subthemes include social isolation and low social capital, area-based exclusion, economic exclusion, and health-related stigma."
"Woodward A, Nimmons D, Davies N, Walters K, Stevenson FA, Protheroe J, Chew-Graham CA, Armstrong M (2024) A qualitative exploration of the barriers and facilitators to self-managing multiple long-term conditions amongst people experiencing socioeconomic deprivation. Health Expectations 27(2): e14046.",10.1111/hex.14046,https://pmc.ncbi.nlm.nih.gov/articles/PMC11019445/,Self-management barriers in multiple long-term conditions with deprivation,Adapting self-management strategies,"Subthemes include cost-free and low-cost activities and culturally and lifestyle appropriate strategies."
"Moore-Bouchard C, Martel M-E, Develay E, Cote J, Durand M, Page MG (2024) Prioritizing chronic pain self-management amid coexisting chronic illnesses: An exploratory qualitative study. International Journal of Nursing Studies Advances 6: 100175.",10.1016/j.ijnsa.2024.100175,https://pmc.ncbi.nlm.nih.gov/articles/PMC11080447/,Chronic pain prioritization among coexisting illnesses,Focus on illness prioritization: from clarity to automatic process,"Different prioritization processes including prioritizing a dominant illness, prioritizing multiple illnesses to avoid undesirable consequences, and absence of or automatic processes of prioritization."
"Moore-Bouchard C, Martel M-E, Develay E, Cote J, Durand M, Page MG (2024) Prioritizing chronic pain self-management amid coexisting chronic illnesses: An exploratory qualitative study. International Journal of Nursing Studies Advances 6: 100175.",10.1016/j.ijnsa.2024.100175,https://pmc.ncbi.nlm.nih.gov/articles/PMC11080447/,Chronic pain prioritization among coexisting illnesses,Key elements of prioritization,"Characteristics of chronic pain that made it a self-management priority: uncontrollable and disabling nature, omnipresence, unpredictability, unpleasantness, and invisibility to others."
"Moore-Bouchard C, Martel M-E, Develay E, Cote J, Durand M, Page MG (2024) Prioritizing chronic pain self-management amid coexisting chronic illnesses: An exploratory qualitative study. International Journal of Nursing Studies Advances 6: 100175.",10.1016/j.ijnsa.2024.100175,https://pmc.ncbi.nlm.nih.gov/articles/PMC11080447/,Chronic pain prioritization among coexisting illnesses,Psychosocial influences on engagement in and prioritization of self-management,"Psychosocial factors influenced levels of engagement in self-management and prioritization processes, including social support and the patient-physician relationship."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,Patients with EDS disorders are constantly in pain,"Patients with EDS are constantly in pain. They expressed their pain frequency as every day and all the time."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,Challenges with health care providers regarding diagnosis and treatment,"Participants shared their difficulties in receiving timely and precise diagnosis from their health care providers."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,Lack of health care provider support,"One of the main complaints from participants was the lack of support from their health care providers."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,Searching for different sources of information,"Participants reported searching different sources for disease information and pain mitigation techniques. Approximately all participants (97%) were actively searching the internet."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,Collection of different pain management techniques,"Participants discussed the nonmedical pain management techniques that they learned through online support groups, web searches, and reading other patients' experiences."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,"Finding disease treatments, lifestyle solutions, and shared experiences in online peer support groups","Most interviewees (80%) were participating in online peer support groups to find pain management solutions, physician and product referrals, natural remedies, or tips and tricks."
"Ashtari S, Taylor AD (2022) The Internet Knows More Than My Physician: Qualitative Interview Study of People With Rare Diseases and How They Use Online Support Groups. Journal of Medical Internet Research 24(8): e39172.",10.2196/39172,https://pmc.ncbi.nlm.nih.gov/articles/PMC9459833/,Ehlers-Danlos patients and online support groups,Changes in health management as a result of participating in online support groups,"Approximately all participants (97%) reported that their health care management changed as a result of participating in online peer support groups."
"Smit D, Vrijsen JN, Groeneweg B, Vellinga-Dings A, Peelen J, Spijker J (2021) A newly developed online peer support community for depression (Depression Connect): Qualitative study. Journal of Medical Internet Research 23(7): e25917.",10.2196/25917,https://pmc.ncbi.nlm.nih.gov/articles/PMC8314160/,Online peer support community for depression,Sense of Belonging,"Recognition, emotional support, and more intrinsic understanding from peers corresponded to their reasons to subscribe, such as loneliness or a lack of support in coping with depression."
"Smit D, Vrijsen JN, Groeneweg B, Vellinga-Dings A, Peelen J, Spijker J (2021) A newly developed online peer support community for depression (Depression Connect): Qualitative study. Journal of Medical Internet Research 23(7): e25917.",10.2196/25917,https://pmc.ncbi.nlm.nih.gov/articles/PMC8314160/,Online peer support community for depression,Emotional Growth,"Depression Connect functioned as a tool for emotional growth: most participants saw Depression Connect use as an incentive to develop and reflect upon personal coping skills."
"Smit D, Vrijsen JN, Groeneweg B, Vellinga-Dings A, Peelen J, Spijker J (2021) A newly developed online peer support community for depression (Depression Connect): Qualitative study. Journal of Medical Internet Research 23(7): e25917.",10.2196/25917,https://pmc.ncbi.nlm.nih.gov/articles/PMC8314160/,Online peer support community for depression,Self-Efficacy,"Most participants derived a greater sense of self-efficacy in coping with depression from the online community. Being informed or reminded about other coping mechanisms seemed to contribute to their sense of autonomy."
"Smit D, Vrijsen JN, Groeneweg B, Vellinga-Dings A, Peelen J, Spijker J (2021) A newly developed online peer support community for depression (Depression Connect): Qualitative study. Journal of Medical Internet Research 23(7): e25917.",10.2196/25917,https://pmc.ncbi.nlm.nih.gov/articles/PMC8314160/,Online peer support community for depression,Empowerment,"Participating in the online community empowered most participants to come to terms with and manage their depression. Being of value to others living with depression and supporting peers through sharing their own experiences provided them with a great sense of fulfillment."
"Smit D, Vrijsen JN, Groeneweg B, Vellinga-Dings A, Peelen J, Spijker J (2021) A newly developed online peer support community for depression (Depression Connect): Qualitative study. Journal of Medical Internet Research 23(7): e25917.",10.2196/25917,https://pmc.ncbi.nlm.nih.gov/articles/PMC8314160/,Online peer support community for depression,Getting too caught up,"Users could become overwhelmed by the sheer volume of information appearing on the online community, the pressure of having to be continuously available and the stress caused by the concerns they had about the worries of their peers."
"Melton K, Telenko B, Miles P, Dave S, Reed S, Kelekian R, Walsh C, O'Donnell S, Walsh KE (2025) Peer-support needs and experiences of young adults with chronic conditions: A mixed methods study. Health Care Transitions 3: 100114.",10.1016/j.hctj.2025.100114,https://pmc.ncbi.nlm.nih.gov/articles/PMC12329556/,Young adults with chronic conditions peer support needs,Peer support is not one size fits all,"Peer support is experienced differently by different people and needs to be tailored to an individual's needs to be most effective."
"Melton K, Telenko B, Miles P, Dave S, Reed S, Kelekian R, Walsh C, O'Donnell S, Walsh KE (2025) Peer-support needs and experiences of young adults with chronic conditions: A mixed methods study. Health Care Transitions 3: 100114.",10.1016/j.hctj.2025.100114,https://pmc.ncbi.nlm.nih.gov/articles/PMC12329556/,Young adults with chronic conditions peer support needs,Grieving your life as you're living it,"Chronic illness in young adulthood can feel like the loss of the chance at a normal life resulting in feelings of grief, isolation, and physical and psychological burden."
"Melton K, Telenko B, Miles P, Dave S, Reed S, Kelekian R, Walsh C, O'Donnell S, Walsh KE (2025) Peer-support needs and experiences of young adults with chronic conditions: A mixed methods study. Health Care Transitions 3: 100114.",10.1016/j.hctj.2025.100114,https://pmc.ncbi.nlm.nih.gov/articles/PMC12329556/,Young adults with chronic conditions peer support needs,The intersectional experience of being young and chronically ill,"The intersectional experience of being young and chronically ill is often poorly understood by those without that lived experience."
"Thomas JA, Lipps G (2025) A qualitative exploration of the experience of individual-level stigma among adolescents with a chronic illness. PLOS ONE 20(12): e0317633.",10.1371/journal.pone.0317633,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317633,Stigma experiences among adolescents with chronic illness,Perceived stigma: Fear/Expectation of negative treatment,"Participants' accounts across conditions were centred on various negative reactions or treatments they feared receiving if others found out or knew about their conditions."
"Thomas JA, Lipps G (2025) A qualitative exploration of the experience of individual-level stigma among adolescents with a chronic illness. PLOS ONE 20(12): e0317633.",10.1371/journal.pone.0317633,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317633,Stigma experiences among adolescents with chronic illness,Perceived stigma: Awareness of negative stereotypes,"Participants articulated only a few negative stereotypes regarding people with their specific condition. Awareness stemmed from personal experiences or observations of societal responses."
"Thomas JA, Lipps G (2025) A qualitative exploration of the experience of individual-level stigma among adolescents with a chronic illness. PLOS ONE 20(12): e0317633.",10.1371/journal.pone.0317633,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317633,Stigma experiences among adolescents with chronic illness,Internalized stigma: Negative behaviours,"Adolescents kept conditions secret through non-disclosure, withholding information, lying about causes, and hiding medication."
"Thomas JA, Lipps G (2025) A qualitative exploration of the experience of individual-level stigma among adolescents with a chronic illness. PLOS ONE 20(12): e0317633.",10.1371/journal.pone.0317633,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317633,Stigma experiences among adolescents with chronic illness,Internalized stigma: Negative feelings,"Common negative emotional responses included feeling different from their peers and others, and not as normal."
"Thomas JA, Lipps G (2025) A qualitative exploration of the experience of individual-level stigma among adolescents with a chronic illness. PLOS ONE 20(12): e0317633.",10.1371/journal.pone.0317633,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317633,Stigma experiences among adolescents with chronic illness,Enacted stigma: Types and sources of negative treatment,"Enacted stigma manifested as overt and subtle negative interpersonal treatments influenced by adolescents' interpretations."
"Thomas JA, Lipps G (2025) A qualitative exploration of the experience of individual-level stigma among adolescents with a chronic illness. PLOS ONE 20(12): e0317633.",10.1371/journal.pone.0317633,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317633,Stigma experiences among adolescents with chronic illness,Rejected stigma,"Adolescents actively resisted and rejected stigmatizing attitudes and behaviours from others."
"Prizeman K, McCabe C, Weinstein N (2024) Stigma and its impact on disclosure and mental health secrecy in young people with clinical depression symptoms: A qualitative analysis. PLOS ONE 19(1): e0296221.",10.1371/journal.pone.0296221,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296221,Depression stigma and disclosure in young people,Depression secrecy: Positive and negative aspects,"Explores young people's decision to keep their depression a secret as a result of previous stigma experiences."
"Prizeman K, McCabe C, Weinstein N (2024) Stigma and its impact on disclosure and mental health secrecy in young people with clinical depression symptoms: A qualitative analysis. PLOS ONE 19(1): e0296221.",10.1371/journal.pone.0296221,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296221,Depression stigma and disclosure in young people,Depression disclosure: Positive and negative aspects,"Explores young people's decisions, reasons, benefits, and consequences of disclosing one's depression as a result of previous stigma experiences."
"Prizeman K, McCabe C, Weinstein N (2024) Stigma and its impact on disclosure and mental health secrecy in young people with clinical depression symptoms: A qualitative analysis. PLOS ONE 19(1): e0296221.",10.1371/journal.pone.0296221,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296221,Depression stigma and disclosure in young people,The solution is selective disclosure,"Provides understanding of young people's stigmatizing subjective views and their awareness of how much to disclose to others."
"Prizeman K, McCabe C, Weinstein N (2024) Stigma and its impact on disclosure and mental health secrecy in young people with clinical depression symptoms: A qualitative analysis. PLOS ONE 19(1): e0296221.",10.1371/journal.pone.0296221,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296221,Depression stigma and disclosure in young people,Participants' recommendations do not align with personal preferences,"Mismatch between advice given to others about disclosure and participants' own personal preferences and behaviours."
"Lewis S, Willis K, Smallwood N (2025) The collective experience of moral distress: a qualitative analysis of perspectives of frontline health workers during COVID-19. Philosophy, Ethics, and Humanities in Medicine 20: 1.",10.1186/s13010-024-00162-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC11715628/,Healthcare workers' moral distress during COVID-19,The challenges of caring well during rapid change,"Healthcare workers described the moral ambiguities as they tried to care well for patients while also adhering to a rapidly changing work environment, with new risks and risk minimisation protocols."
"Lewis S, Willis K, Smallwood N (2025) The collective experience of moral distress: a qualitative analysis of perspectives of frontline health workers during COVID-19. Philosophy, Ethics, and Humanities in Medicine 20: 1.",10.1186/s13010-024-00162-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC11715628/,Healthcare workers' moral distress during COVID-19,Witnessing suffering,"Moral distress emanated from being a bystander to the pain and suffering of others -- patients, family members, hospital visitors, and colleagues. This distress was not experienced by healthcare workers in isolation from each other but collectively experienced across a network of professional and patient relationships."
"Lewis S, Willis K, Smallwood N (2025) The collective experience of moral distress: a qualitative analysis of perspectives of frontline health workers during COVID-19. Philosophy, Ethics, and Humanities in Medicine 20: 1.",10.1186/s13010-024-00162-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC11715628/,Healthcare workers' moral distress during COVID-19,Invisible and thankless work,"Participants reported distress related to the unrelenting invisible work that was demanded of them in trying to meet the care needs of their patients, but that in their view was often taken for granted or unacknowledged by their organisation, the media, and the wider community."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Reframing the situation,"Reframing the morally distressing situation by acknowledging limits that are inherent in oneself/others, recognizing others' perspectives, trusting others, and focusing on values that could be upheld despite the constraints."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Trying to modify the situation,"Trying to modify the morally distressing situation by speaking up, raising arguments, taking charge, or seeking help."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Limiting own involvement,"Detaching emotionally from the morally distressing situation to safeguard well-being."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Tolerating the situation,"Passively accepting the morally distressing situation."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Meeting and sharing with colleagues,"Meeting and sharing with colleagues for support, exchange of opinions, deliberation, and validation."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Rejecting and withdrawing from the situation,"Rejecting and actively withdrawing from situations compromising moral values and well-being."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Searching for alternative actions,"Searching for alternative actions, given the existing constraints, to uphold moral values."
"Lamiani G, Montecalvo M, Battistini CL, Borghi L, Meyer EC, Vegni E (2025) Coping with moral distress: a qualitative study exploring psychological strategies used by healthcare professionals. BMC Psychology 13: 589.",10.1186/s40359-025-02926-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC12131574/,Healthcare professionals' coping strategies for moral distress,Venting,"Venting emotions through communication, recreational or physical activities."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Resource visibility and outreach,"Services are considered approachable when populations they aim to serve can identify and know how to reach them. Systemic efforts to make a service more visible to its intended user are related to transparency, outreach, and provision of information."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Digital literacy,"Barriers related to lack of devices, limited computer literacy, and inadequate or nonexistent internet connectivity."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Accommodations for patient needs and preferences,"Alignment between the services offered and the patients' expectations and preferences."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Local service (in)availability and gaps,"Long waitlists, sometimes extending for months. Some of the resources were restricted to larger cities or specific age groups."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Administrative or procedural issues,"Poor appointment mechanisms and completing long and complicated forms."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Transportation vis-a-vis ability to reach,"Individual ability to reach services substantially influenced by their access to transportation."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,"Direct, indirect and opportunity cost","Direct costs (out-of-pocket expenses), indirect costs (like transportation expenses), and opportunity costs (including lost wages)."
"Saluja K, Mahbub A, Gauthier AP, Lemonde M, Timony P, Durand F, Dahrouge S (2025) Understanding patient barriers and enablers to accessing community resources: a qualitative study to inform navigation service delivery. BMC Primary Care 26: 322.",10.1186/s12875-025-03029-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC12551251/,Patient barriers to accessing community resources,Motivation and confidence to address needs,"Mixed responses, with some expressing strong motivation while others demonstrated lower confidence and struggled."
